fraction,heads_removed,heads_total,importance_ppl,random_ppl,gap
0.0,0,72,66.88,66.88,0.00
0.1,7,72,69.95,71.34,1.39
0.2,14,72,75.08,74.07,-1.01
0.3,22,72,86.32,79.76,-6.56
0.4,29,72,93.91,87.63,-6.28
0.5,36,72,106.28,99.09,-7.19
0.6,43,72,132.45,134.31,1.86
0.7,50,72,191.18,198.75,7.57
0.8,58,72,302.53,574.36,271.84
